iter	Passed	Remaining
572	1107	825
573	1108	822
574	1109	820
575	1110	817
576	1111	815
577	1113	812
578	1114	810
579	1115	807
580	1116	804
581	1117	802
582	1119	801
583	1122	799
584	1123	796
585	1124	794
586	1125	791
587	1126	789
588	1127	786
589	1128	784
590	1129	781
591	1130	779
592	1132	777
593	1133	774
594	1134	772
595	1136	770
596	1138	768
597	1139	766
598	1141	763
599	1142	761
600	1143	759
601	1144	756
602	1145	754
603	1146	751
604	1147	749
605	1149	747
606	1151	745
607	1152	743
608	1153	740
609	1155	738
610	1156	736
611	1157	733
612	1158	731
613	1159	728
614	1160	726
615	1161	724
616	1162	721
617	1165	720
618	1167	718
619	1168	716
620	1169	713
621	1170	711
622	1171	709
623	1173	706
624	1174	704
625	1175	702
626	1176	700
627	1178	698
628	1180	696
629	1182	694
630	1184	692
631	1185	690
632	1186	687
633	1187	685
634	1188	683
635	1189	681
636	1191	678
637	1192	676
638	1193	674
639	1196	672
640	1197	670
641	1198	668
642	1199	666
643	1200	663
644	1201	661
645	1202	659
646	1203	656
647	1204	654
648	1205	652
649	1207	650
650	1208	648
651	1211	646
652	1212	644
653	1213	641
654	1214	639
655	1215	637
656	1216	635
657	1217	632
658	1218	630
659	1220	628
660	1221	626
661	1222	624
662	1224	622
663	1226	620
664	1227	618
665	1228	616
666	1229	613
667	1230	611
668	1231	609
669	1232	607
670	1233	604
671	1235	602
672	1236	600
673	1237	598
674	1239	596
675	1241	594
676	1242	592
677	1243	590
678	1244	588
679	1245	586
680	1247	584
681	1248	582
682	1249	579
683	1250	577
684	1251	575
685	1253	573
686	1255	571
687	1256	569
688	1257	567
689	1259	565
690	1260	563
691	1261	561
692	1262	559
693	1264	557
694	1265	555
695	1266	553
696	1267	551
697	1270	549
698	1271	547
699	1272	545
700	1273	543
701	1274	541
702	1275	538
703	1276	536
704	1277	534
705	1278	532
706	1279	530
707	1280	528
708	1282	526
709	1283	524
710	1285	522
711	1286	520
712	1287	518
713	1288	516
714	1289	513
715	1290	511
716	1291	509
717	1292	507
718	1293	505
719	1294	503
720	1295	501
721	1296	499
722	1299	497
723	1300	495
724	1301	493
725	1302	491
726	1303	489
727	1304	487
728	1306	485
729	1307	483
730	1308	481
731	1309	479
732	1310	477
733	1312	475
734	1314	473
735	1315	471
736	1316	469
737	1317	467
738	1319	465
739	1320	463
740	1321	461
741	1322	459
742	1323	457
743	1324	455
744	1327	454
745	1329	452
746	1330	450
747	1332	448
748	1334	447
749	1336	445
750	1337	443
751	1339	441
752	1340	439
753	1342	438
754	1344	436
755	1346	434
756	1347	432
757	1348	430
758	1349	428
759	1350	426
760	1351	424
761	1353	422
762	1354	420
763	1355	418
764	1357	416
765	1358	415
766	1360	413
767	1361	411
768	1362	409
769	1363	407
770	1364	405
771	1365	403
772	1366	401
773	1368	399
774	1369	397
775	1371	395
776	1373	394
777	1374	392
778	1376	390
779	1377	388
780	1378	386
781	1379	384
782	1380	382
783	1381	380
784	1382	378
785	1384	376
786	1386	375
787	1388	373
788	1390	371
789	1391	369
790	1392	367
791	1393	366
792	1395	364
793	1396	362
794	1397	360
795	1398	358
796	1400	356
797	1403	355
798	1404	353
799	1407	351
800	1411	350
801	1414	349
802	1419	348
803	1422	346
804	1424	344
805	1425	343
806	1430	342
807	1432	340
808	1434	338
809	1438	337
810	1439	335
811	1441	333
812	1443	331
813	1446	330
814	1447	328
815	1449	326
816	1450	324
817	1452	323
818	1453	321
819	1455	319
820	1456	317
821	1458	315
822	1460	314
823	1461	312
824	1463	310
825	1465	308
826	1466	306
827	1468	304
828	1469	303
829	1470	301
830	1474	299
831	1475	298
832	1477	296
833	1478	294
834	1479	292
835	1481	290
836	1482	288
837	1484	286
838	1485	285
839	1487	283
840	1489	281
841	1490	279
842	1491	277
843	1492	275
844	1493	274
845	1495	272
846	1496	270
847	1497	268
848	1498	266
849	1499	264
850	1500	262
851	1502	260
852	1504	259
853	1505	257
854	1506	255
855	1507	253
856	1508	251
857	1509	249
858	1510	247
859	1511	246
860	1512	244
861	1514	242
862	1515	240
863	1516	238
864	1518	236
865	1519	235
866	1521	233
867	1522	231
868	1523	229
869	1524	227
870	1525	226
871	1527	224
872	1528	222
873	1529	220
874	1530	218
875	1531	216
876	1533	215
877	1535	213
878	1536	211
879	1537	209
880	1538	207
881	1539	205
882	1540	204
883	1541	202
884	1542	200
885	1543	198
886	1544	196
887	1546	195
888	1548	193
889	1549	191
890	1550	189
891	1552	187
892	1553	186
893	1554	184
894	1555	182
895	1556	180
896	1557	178
897	1558	177
898	1559	175
899	1561	173
900	1563	171
901	1565	170
902	1566	168
903	1568	166
904	1570	164
905	1571	163
906	1572	161
907	1573	159
908	1574	157
909	1576	155
910	1578	154
911	1580	152
912	1581	150
913	1582	148
914	1583	147
915	1585	145
916	1587	143
917	1588	141
918	1589	140
919	1592	138
920	1593	136
921	1595	134
922	1596	133
923	1597	131
924	1598	129
925	1600	127
926	1601	126
927	1602	124
928	1603	122
929	1605	120
930	1607	119
931	1608	117
932	1610	115
933	1611	113
934	1612	112
935	1614	110
936	1615	108
937	1617	106
938	1618	105
939	1620	103
940	1622	101
941	1624	99
942	1625	98
943	1627	96
944	1628	94
945	1630	93
946	1631	91
947	1632	89
948	1635	87
949	1637	86
950	1638	84
951	1639	82
952	1640	80
953	1642	79
954	1643	77
955	1645	75
956	1646	73
957	1647	72
958	1650	70
959	1653	68
960	1654	67
961	1656	65
962	1657	63
963	1659	61
964	1660	60
965	1661	58
966	1663	56
967	1665	55
968	1667	53
969	1668	51
970	1669	49
971	1670	48
972	1671	46
973	1672	44
974	1673	42
975	1675	41
976	1676	39
977	1677	37
978	1680	36
979	1681	34
980	1682	32
981	1684	30
982	1685	29
983	1686	27
984	1687	25
985	1688	23
986	1689	22
987	1691	20
988	1692	18
989	1696	17
990	1698	15
991	1699	13
992	1700	11
993	1702	10
994	1704	8
995	1705	6
996	1707	5
997	1710	3
998	1711	1
999	1713	0
